@relation testset
@attribute over_draft {'<0','0<=X<200','>=200','no checking'}
@attribute credit_usage numeric
@attribute credit_history {'all paid','critical/other existing credit','delayed previously','existing paid','no credits/all paid'}
@attribute purpose {'business','domestic appliance','education','furniture/equipment','new car','other','radio/tv','repairs','retraining','used car'}
@attribute current_balance numeric
@attribute Average_Credit_Balance {'<100','>=1000','100<=X<500','500<=X<1000','no known savings'}
@attribute employment {'<1','1<=X<4','4<=X<7','>=7','unemployed'}
@attribute location numeric
@attribute personal_status {'female div/dep/mar','male div/sep','male mar/wid','male single'}
@attribute other_parties {'co applicant','guarantor','none'}
@attribute residence_since numeric
@attribute property_magnitude {'car','life insurance','no known property','real estate'}
@attribute cc_age numeric
@attribute other_payment_plans {'bank','none','stores'}
@attribute housing {'for free','own','rent'}
@attribute existing_credits numeric
@attribute job {'high qualif/self emp/mgmt','skilled','unemp/unskilled non res','unskilled resident'}
@attribute num_dependents numeric
@attribute own_telephone {'none','yes'}
@attribute foreign_worker {'no','yes'}
@attribute class {'bad','good'}
@data
'no checking',9,'existing paid','furniture/equipment',1388,'<100','1<=X<4',4,'female div/dep/mar','none',2,'real estate',26,'none','rent',1,'skilled',1,'none','yes','good'
'no checking',48,'existing paid','radio/tv',10222,'no known savings','4<=X<7',4,'male single','none',3,'car',37,'stores','own',1,'skilled',1,'yes','yes','good'
'no checking',15,'existing paid','domestic appliance',874,'no known savings','<1',4,'female div/dep/mar','none',1,'real estate',24,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',24,'critical/other existing credit','new car',3878,'100<=X<500','<1',4,'male div/sep','none',2,'car',37,'none','own',1,'skilled',1,'yes','yes','good'
'0<=X<200',54,'no credits/all paid','business',15945,'<100','<1',3,'male single','none',4,'no known property',58,'none','rent',1,'skilled',1,'yes','yes','bad'
'<0',24,'critical/other existing credit','used car',2957,'<100','>=7',4,'male single','none',4,'life insurance',63,'none','own',2,'skilled',1,'yes','yes','good'
'0<=X<200',24,'critical/other existing credit','furniture/equipment',4736,'<100','<1',2,'female div/dep/mar','none',4,'car',25,'bank','own',1,'unskilled resident',1,'none','yes','bad'
'<0',24,'existing paid','used car',2812,'no known savings','>=7',2,'female div/dep/mar','none',4,'real estate',26,'none','rent',1,'skilled',1,'none','yes','good'
'0<=X<200',48,'no credits/all paid','business',3844,'100<=X<500','4<=X<7',4,'male single','none',4,'no known property',34,'none','for free',1,'unskilled resident',2,'none','yes','bad'
'no checking',12,'critical/other existing credit','business',1185,'<100','1<=X<4',3,'female div/dep/mar','none',2,'real estate',27,'none','own',2,'skilled',1,'none','yes','good'
'0<=X<200',20,'delayed previously','used car',7057,'no known savings','4<=X<7',3,'male single','none',4,'life insurance',36,'bank','rent',2,'high qualif/self emp/mgmt',2,'yes','yes','good'
'no checking',36,'critical/other existing credit','used car',11054,'no known savings','1<=X<4',4,'male single','none',2,'car',30,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',10,'existing paid','new car',1287,'no known savings','>=7',4,'male single','co applicant',2,'life insurance',45,'none','own',1,'unskilled resident',1,'none','no','good'
'0<=X<200',18,'existing paid','business',1941,'>=1000','1<=X<4',4,'male single','none',2,'life insurance',35,'none','own',1,'unskilled resident',1,'yes','yes','good'
'<0',48,'no credits/all paid','furniture/equipment',7119,'<100','1<=X<4',3,'male single','none',4,'no known property',53,'none','for free',2,'skilled',2,'none','yes','bad'
'no checking',4,'critical/other existing credit','radio/tv',1503,'<100','4<=X<7',2,'male single','none',1,'real estate',42,'none','own',2,'unskilled resident',2,'none','yes','good'
'<0',18,'critical/other existing credit','new car',5302,'<100','>=7',2,'male single','none',4,'no known property',36,'none','for free',3,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',6,'existing paid','new car',3518,'<100','1<=X<4',2,'male single','guarantor',3,'life insurance',26,'none','rent',1,'skilled',1,'none','yes','good'
'<0',24,'existing paid','furniture/equipment',2996,'no known savings','1<=X<4',2,'male mar/wid','none',4,'car',20,'none','own',1,'skilled',1,'none','yes','bad'
'<0',18,'existing paid','furniture/equipment',2039,'<100','1<=X<4',1,'female div/dep/mar','none',4,'real estate',20,'bank','rent',1,'skilled',1,'none','yes','bad'
'no checking',18,'delayed previously','business',2169,'<100','1<=X<4',4,'male mar/wid','none',2,'car',28,'none','own',1,'skilled',1,'yes','yes','bad'
'no checking',15,'existing paid','radio/tv',1386,'no known savings','1<=X<4',4,'male mar/wid','none',2,'real estate',40,'none','rent',1,'skilled',1,'yes','yes','good'
'no checking',24,'existing paid','used car',7814,'<100','4<=X<7',3,'male single','none',3,'car',38,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',36,'existing paid','education',1977,'no known savings','>=7',4,'male single','none',4,'no known property',40,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','bad'
'no checking',15,'critical/other existing credit','radio/tv',1471,'<100','1<=X<4',4,'male single','none',4,'no known property',35,'none','for free',2,'skilled',1,'yes','yes','good'
'>=200',24,'critical/other existing credit','radio/tv',3148,'no known savings','1<=X<4',3,'male single','none',2,'car',31,'none','own',2,'skilled',1,'yes','yes','good'
'<0',24,'existing paid','new car',4817,'<100','4<=X<7',2,'male single','co applicant',3,'life insurance',31,'none','own',1,'skilled',1,'yes','yes','bad'
'<0',24,'all paid','furniture/equipment',2828,'500<=X<1000','1<=X<4',4,'male single','none',4,'real estate',22,'stores','own',1,'skilled',1,'yes','yes','good'
'0<=X<200',13,'critical/other existing credit','radio/tv',882,'<100','<1',4,'male single','guarantor',4,'real estate',23,'none','own',2,'skilled',1,'none','yes','good'
'>=200',12,'all paid','radio/tv',409,'>=1000','1<=X<4',3,'female div/dep/mar','none',3,'real estate',42,'none','rent',2,'skilled',1,'none','yes','good'
'no checking',36,'existing paid','new car',909,'500<=X<1000','>=7',4,'male single','none',4,'life insurance',36,'none','own',1,'skilled',1,'none','yes','good'
'no checking',12,'existing paid','radio/tv',2171,'<100','<1',2,'female div/dep/mar','none',2,'car',29,'bank','own',1,'skilled',1,'none','yes','good'
'0<=X<200',11,'delayed previously','radio/tv',4771,'<100','4<=X<7',2,'male single','none',4,'life insurance',51,'none','own',1,'skilled',1,'none','yes','good'
'>=200',12,'existing paid','new car',1330,'<100','<1',4,'male single','none',1,'real estate',26,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',30,'no credits/all paid','business',4280,'100<=X<500','1<=X<4',4,'female div/dep/mar','none',4,'car',26,'none','rent',2,'unskilled resident',1,'none','yes','bad'
'<0',45,'existing paid','radio/tv',1845,'<100','1<=X<4',4,'male single','none',4,'no known property',23,'none','for free',1,'skilled',1,'yes','yes','bad'
'no checking',12,'existing paid','education',719,'<100','>=7',4,'male single','none',4,'car',41,'bank','own',1,'unskilled resident',2,'none','yes','bad'
'no checking',12,'critical/other existing credit','education',701,'<100','1<=X<4',4,'male single','none',2,'car',32,'none','own',2,'skilled',1,'none','yes','good'
'>=200',36,'existing paid','radio/tv',3913,'<100','1<=X<4',2,'male single','none',2,'real estate',23,'none','own',1,'skilled',1,'yes','yes','good'
'<0',24,'all paid','used car',3632,'<100','1<=X<4',1,'female div/dep/mar','guarantor',4,'car',22,'bank','rent',1,'skilled',1,'none','no','good'
'no checking',36,'existing paid','furniture/equipment',10974,'<100','unemployed',4,'female div/dep/mar','none',2,'car',26,'none','own',2,'high qualif/self emp/mgmt',1,'yes','yes','bad'
'0<=X<200',18,'critical/other existing credit','new car',884,'<100','>=7',4,'male single','none',4,'car',36,'bank','own',1,'skilled',2,'yes','yes','bad'
'0<=X<200',18,'critical/other existing credit','furniture/equipment',1295,'<100','<1',4,'female div/dep/mar','none',1,'life insurance',27,'none','own',2,'skilled',1,'none','yes','good'
'0<=X<200',7,'existing paid','radio/tv',2415,'<100','1<=X<4',3,'male single','guarantor',2,'real estate',34,'none','own',1,'skilled',1,'none','yes','good'
'<0',48,'existing paid','used car',10297,'<100','4<=X<7',4,'male single','none',4,'no known property',39,'stores','for free',3,'skilled',2,'yes','yes','bad'
'0<=X<200',12,'existing paid','radio/tv',1534,'<100','<1',1,'male mar/wid','none',1,'real estate',23,'none','rent',1,'skilled',1,'none','yes','bad'
'<0',24,'all paid','new car',1193,'<100','unemployed',1,'female div/dep/mar','co applicant',4,'no known property',29,'none','rent',2,'unemp/unskilled non res',1,'none','yes','bad'
'<0',12,'critical/other existing credit','new car',2171,'<100','1<=X<4',4,'male single','none',4,'life insurance',38,'bank','own',2,'unskilled resident',1,'none','no','good'
'no checking',18,'critical/other existing credit','education',1864,'100<=X<500','1<=X<4',4,'female div/dep/mar','none',2,'real estate',30,'none','own',2,'skilled',1,'none','yes','bad'
'0<=X<200',36,'existing paid','education',2273,'<100','4<=X<7',3,'male single','none',1,'car',32,'none','own',2,'skilled',2,'none','yes','good'
'0<=X<200',21,'existing paid','business',2767,'100<=X<500','>=7',4,'male div/sep','none',2,'car',61,'bank','rent',2,'unskilled resident',1,'none','yes','bad'
'0<=X<200',12,'existing paid','radio/tv',1158,'500<=X<1000','1<=X<4',3,'male div/sep','none',1,'car',26,'none','own',1,'skilled',1,'yes','yes','good'
'<0',18,'existing paid','furniture/equipment',2659,'>=1000','1<=X<4',4,'male single','none',2,'car',28,'none','own',1,'skilled',1,'none','yes','good'
'no checking',24,'delayed previously','used car',4679,'<100','4<=X<7',3,'male single','none',3,'car',35,'none','own',2,'unskilled resident',1,'yes','yes','good'
'no checking',12,'existing paid','radio/tv',776,'<100','1<=X<4',4,'male mar/wid','none',2,'real estate',28,'none','own',1,'skilled',1,'none','yes','good'
'<0',24,'existing paid','furniture/equipment',7721,'no known savings','<1',1,'female div/dep/mar','none',2,'life insurance',30,'none','own',1,'skilled',1,'yes','no','good'
'no checking',24,'all paid','business',1559,'<100','4<=X<7',4,'male single','none',4,'car',50,'bank','own',1,'skilled',1,'yes','yes','good'
'<0',6,'existing paid','new car',14896,'<100','>=7',1,'male single','none',4,'no known property',68,'bank','own',1,'high qualif/self emp/mgmt',1,'yes','yes','bad'
'<0',18,'existing paid','radio/tv',1882,'<100','1<=X<4',4,'female div/dep/mar','none',4,'car',25,'bank','rent',2,'skilled',1,'none','yes','bad'
'<0',36,'existing paid','furniture/equipment',5179,'<100','4<=X<7',4,'male single','none',2,'life insurance',29,'none','own',1,'skilled',1,'none','yes','bad'
'no checking',24,'existing paid','used car',2679,'<100','<1',4,'female div/dep/mar','none',1,'no known property',29,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',48,'critical/other existing credit','used car',8858,'no known savings','4<=X<7',2,'male single','none',1,'no known property',35,'none','for free',2,'skilled',1,'yes','yes','good'
'<0',24,'existing paid','used car',2910,'<100','4<=X<7',2,'male single','none',1,'no known property',34,'none','for free',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',12,'existing paid','new car',3651,'>=1000','1<=X<4',1,'male single','none',3,'life insurance',31,'none','own',1,'skilled',2,'none','yes','good'
'no checking',18,'existing paid','new car',2662,'no known savings','4<=X<7',4,'male single','none',3,'life insurance',32,'none','own',1,'skilled',1,'none','no','good'
'<0',10,'critical/other existing credit','new car',1038,'<100','4<=X<7',4,'male single','co applicant',3,'life insurance',49,'none','own',2,'skilled',1,'yes','yes','good'
'0<=X<200',48,'existing paid','other',5381,'no known savings','unemployed',3,'male single','none',4,'no known property',40,'bank','for free',1,'unemp/unskilled non res',1,'yes','yes','good'
'<0',12,'existing paid','furniture/equipment',3590,'<100','1<=X<4',2,'male single','co applicant',2,'life insurance',29,'none','own',1,'unskilled resident',2,'none','yes','good'
'>=200',12,'existing paid','furniture/equipment',1424,'no known savings','>=7',3,'female div/dep/mar','none',4,'real estate',55,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',15,'critical/other existing credit','furniture/equipment',1478,'<100','>=7',4,'male single','none',4,'car',44,'none','own',2,'skilled',2,'yes','yes','good'
'<0',16,'critical/other existing credit','new car',2625,'<100','>=7',2,'male single','guarantor',4,'life insurance',43,'bank','rent',1,'skilled',1,'yes','yes','bad'
'no checking',6,'existing paid','repairs',660,'500<=X<1000','4<=X<7',2,'male mar/wid','none',4,'real estate',23,'none','rent',1,'unskilled resident',1,'none','yes','good'
'0<=X<200',6,'delayed previously','business',1449,'100<=X<500','>=7',1,'male div/sep','none',2,'car',31,'bank','own',2,'skilled',2,'none','yes','good'
'0<=X<200',36,'existing paid','repairs',2384,'<100','<1',4,'male single','none',1,'no known property',33,'none','rent',1,'unskilled resident',1,'none','yes','bad'
'<0',15,'existing paid','new car',1721,'<100','<1',2,'male single','none',3,'real estate',36,'none','own',1,'skilled',1,'none','yes','good'
'<0',18,'existing paid','furniture/equipment',3650,'<100','<1',1,'female div/dep/mar','none',4,'car',22,'none','rent',1,'skilled',1,'none','yes','good'
'no checking',6,'existing paid','furniture/equipment',1543,'>=1000','1<=X<4',4,'male div/sep','none',2,'real estate',33,'none','own',1,'skilled',1,'none','yes','good'
'<0',6,'critical/other existing credit','new car',666,'>=1000','4<=X<7',3,'female div/dep/mar','none',4,'real estate',39,'none','own',2,'unskilled resident',1,'yes','yes','good'
'no checking',6,'critical/other existing credit','new car',2080,'500<=X<1000','1<=X<4',1,'male mar/wid','none',2,'car',24,'none','own',1,'skilled',1,'none','yes','good'
'<0',12,'existing paid','retraining',902,'<100','4<=X<7',4,'male mar/wid','none',4,'life insurance',21,'none','rent',1,'skilled',1,'none','yes','bad'
'>=200',18,'existing paid','furniture/equipment',3049,'<100','<1',1,'female div/dep/mar','none',1,'life insurance',45,'stores','own',1,'unskilled resident',1,'none','yes','good'
'no checking',10,'existing paid','new car',1364,'<100','1<=X<4',2,'female div/dep/mar','none',4,'car',64,'none','own',1,'skilled',1,'yes','yes','good'
'0<=X<200',60,'existing paid','education',6288,'<100','1<=X<4',4,'male single','none',4,'no known property',42,'none','for free',1,'skilled',1,'none','yes','bad'
'0<=X<200',9,'existing paid','radio/tv',1670,'<100','<1',4,'female div/dep/mar','none',2,'car',22,'none','own',1,'skilled',1,'yes','yes','bad'
'no checking',15,'existing paid','used car',1300,'no known savings','>=7',4,'male single','none',4,'no known property',45,'bank','for free',1,'skilled',2,'none','yes','good'
'no checking',12,'existing paid','radio/tv',3077,'<100','1<=X<4',2,'male single','none',4,'car',52,'none','own',1,'skilled',1,'yes','yes','good'
'<0',8,'critical/other existing credit','other',1164,'<100','>=7',3,'male single','none',4,'no known property',51,'bank','for free',2,'high qualif/self emp/mgmt',2,'yes','yes','good'
'<0',15,'existing paid','new car',1403,'<100','1<=X<4',2,'female div/dep/mar','none',4,'car',28,'none','rent',1,'skilled',1,'none','yes','good'
'0<=X<200',30,'all paid','furniture/equipment',3496,'>=1000','1<=X<4',4,'male single','none',2,'car',34,'stores','own',1,'skilled',2,'yes','yes','good'
'no checking',6,'all paid','new car',783,'no known savings','1<=X<4',1,'male single','guarantor',2,'real estate',26,'stores','own',1,'unskilled resident',2,'none','yes','good'
'no checking',30,'critical/other existing credit','radio/tv',5954,'<100','4<=X<7',3,'male single','co applicant',2,'car',38,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',6,'critical/other existing credit','retraining',932,'no known savings','4<=X<7',1,'female div/dep/mar','none',3,'life insurance',39,'none','own',2,'unskilled resident',1,'none','yes','good'
'<0',21,'critical/other existing credit','new car',1602,'<100','>=7',4,'male mar/wid','none',3,'car',30,'none','own',2,'skilled',1,'yes','yes','good'
'0<=X<200',24,'existing paid','radio/tv',1967,'<100','>=7',4,'female div/dep/mar','none',4,'car',20,'none','own',1,'skilled',1,'yes','yes','good'
'no checking',30,'critical/other existing credit','radio/tv',2831,'<100','1<=X<4',4,'female div/dep/mar','none',2,'car',33,'none','own',1,'skilled',1,'yes','yes','good'
'<0',21,'existing paid','radio/tv',1835,'<100','1<=X<4',3,'female div/dep/mar','none',2,'real estate',25,'none','own',2,'skilled',1,'yes','yes','bad'
'no checking',30,'critical/other existing credit','radio/tv',3077,'no known savings','>=7',3,'male single','none',2,'car',40,'none','own',2,'skilled',2,'yes','yes','good'
'0<=X<200',36,'existing paid','education',3711,'no known savings','1<=X<4',2,'male mar/wid','none',2,'car',27,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',12,'existing paid','radio/tv',766,'500<=X<1000','1<=X<4',4,'male single','none',3,'real estate',66,'none','own',1,'unskilled resident',1,'none','yes','bad'
'<0',36,'existing paid','new car',1842,'<100','<1',4,'female div/dep/mar','none',4,'car',34,'none','own',1,'skilled',1,'yes','yes','bad'
'0<=X<200',12,'no credits/all paid','retraining',1410,'<100','1<=X<4',2,'male single','none',2,'real estate',31,'none','own',1,'unskilled resident',1,'yes','yes','good'
'0<=X<200',45,'existing paid','radio/tv',3031,'100<=X<500','1<=X<4',4,'male single','guarantor',4,'life insurance',21,'none','rent',1,'skilled',1,'none','yes','bad'
'0<=X<200',9,'critical/other existing credit','radio/tv',1154,'<100','>=7',2,'male single','none',4,'real estate',37,'none','own',3,'unskilled resident',1,'none','yes','good'
'<0',9,'existing paid','new car',654,'<100','1<=X<4',4,'male single','none',3,'car',28,'none','own',1,'unskilled resident',1,'none','yes','bad'
'>=200',15,'existing paid','education',1905,'<100','>=7',4,'male single','none',4,'car',40,'none','rent',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',12,'critical/other existing credit','furniture/equipment',1592,'>=1000','4<=X<7',3,'female div/dep/mar','none',2,'life insurance',35,'none','own',1,'skilled',1,'none','no','good'
'0<=X<200',18,'critical/other existing credit','furniture/equipment',1928,'<100','<1',2,'male single','none',2,'real estate',31,'none','own',2,'unskilled resident',1,'none','yes','bad'
'no checking',24,'existing paid','new car',1469,'100<=X<500','>=7',4,'male mar/wid','none',4,'real estate',41,'none','rent',1,'unskilled resident',1,'none','yes','good'
'no checking',12,'existing paid','radio/tv',2141,'100<=X<500','4<=X<7',3,'male single','none',1,'no known property',35,'none','own',1,'skilled',1,'none','yes','good'
'no checking',21,'delayed previously','used car',2993,'<100','1<=X<4',3,'male single','none',2,'real estate',28,'stores','own',2,'unskilled resident',1,'none','yes','good'
'<0',18,'critical/other existing credit','furniture/equipment',2124,'<100','1<=X<4',4,'female div/dep/mar','none',4,'real estate',24,'none','rent',2,'skilled',1,'none','yes','bad'
'<0',9,'existing paid','radio/tv',1364,'<100','4<=X<7',3,'male single','none',4,'real estate',59,'none','own',1,'skilled',1,'none','yes','good'
'no checking',6,'critical/other existing credit','new car',6761,'<100','4<=X<7',1,'male single','none',3,'no known property',45,'none','own',2,'high qualif/self emp/mgmt',2,'yes','yes','good'
'<0',18,'existing paid','furniture/equipment',1131,'<100','unemployed',4,'female div/dep/mar','none',2,'car',33,'none','own',1,'skilled',1,'none','yes','bad'
'0<=X<200',36,'existing paid','radio/tv',2323,'<100','4<=X<7',4,'male single','none',4,'car',24,'none','rent',1,'skilled',1,'none','yes','good'
'>=200',6,'critical/other existing credit','new car',1343,'<100','>=7',1,'male single','none',4,'real estate',46,'none','own',2,'skilled',2,'none','no','good'
'no checking',24,'existing paid','business',1258,'<100','4<=X<7',4,'male single','none',1,'real estate',25,'none','own',1,'skilled',1,'yes','yes','good'
'no checking',12,'existing paid','radio/tv',707,'<100','1<=X<4',4,'male single','none',2,'real estate',30,'bank','own',2,'skilled',1,'none','yes','good'
'no checking',21,'existing paid','radio/tv',3160,'no known savings','>=7',4,'male single','none',3,'life insurance',41,'none','own',1,'skilled',1,'yes','yes','good'
'<0',6,'critical/other existing credit','new car',1361,'<100','<1',2,'male single','none',4,'real estate',40,'none','own',1,'unskilled resident',2,'none','no','good'
'no checking',18,'critical/other existing credit','furniture/equipment',3780,'<100','<1',3,'male div/sep','none',2,'car',35,'none','own',2,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',21,'critical/other existing credit','new car',571,'<100','>=7',4,'male single','none',4,'real estate',65,'none','own',2,'skilled',1,'none','yes','good'
'<0',24,'existing paid','new car',1207,'<100','<1',4,'female div/dep/mar','none',4,'life insurance',24,'none','rent',1,'skilled',1,'none','yes','bad'
'no checking',24,'critical/other existing credit','used car',5804,'>=1000','1<=X<4',4,'male single','none',2,'real estate',27,'none','own',2,'skilled',1,'none','yes','good'
'no checking',24,'delayed previously','new car',2032,'<100','>=7',4,'male single','none',4,'no known property',60,'none','for free',2,'skilled',1,'yes','yes','good'
'no checking',6,'existing paid','domestic appliance',1338,'500<=X<1000','1<=X<4',1,'male div/sep','none',4,'real estate',62,'none','own',1,'skilled',1,'none','yes','good'
'<0',6,'existing paid','education',448,'<100','<1',4,'female div/dep/mar','none',4,'life insurance',23,'none','own',1,'skilled',1,'none','yes','bad'
'no checking',12,'critical/other existing credit','education',2096,'<100','4<=X<7',2,'male single','none',3,'real estate',49,'none','own',1,'unskilled resident',2,'none','yes','good'
'no checking',24,'existing paid','business',4591,'>=1000','1<=X<4',2,'male single','none',3,'life insurance',54,'none','own',3,'high qualif/self emp/mgmt',1,'yes','yes','bad'
'<0',48,'existing paid','domestic appliance',3051,'<100','1<=X<4',3,'male single','none',4,'car',54,'none','own',1,'skilled',1,'none','yes','bad'
'no checking',12,'existing paid','business',1542,'<100','4<=X<7',2,'male single','none',4,'car',36,'none','own',1,'skilled',1,'yes','yes','good'
'0<=X<200',12,'existing paid','retraining',754,'no known savings','>=7',4,'male single','none',4,'life insurance',38,'none','own',2,'skilled',1,'none','yes','good'
'no checking',30,'critical/other existing credit','used car',7596,'no known savings','>=7',1,'male single','none',4,'car',63,'none','own',2,'skilled',1,'none','yes','good'
'<0',9,'existing paid','radio/tv',1366,'<100','<1',3,'female div/dep/mar','none',4,'life insurance',22,'none','rent',1,'skilled',1,'none','yes','bad'
'<0',60,'delayed previously','business',6836,'<100','>=7',3,'male single','none',4,'no known property',63,'none','own',2,'skilled',1,'yes','yes','bad'
'no checking',39,'existing paid','used car',8588,'100<=X<500','>=7',4,'male single','none',2,'car',45,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',39,'existing paid','used car',2569,'500<=X<1000','1<=X<4',4,'male single','none',4,'car',24,'none','own',1,'skilled',1,'none','yes','good'
